molecule,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
LSD,linear,intrcpt,1.2715932414982922,NA,NA,5.319544500969084,1.0402736724261966e-7,0,0,108,38.367081618414424,4.701382652081818,0.03013836247148788,***
LSD,linear,dose_diff,-0.005117907755524285,NA,NA,-2.168267200342665,0.03013836247148788,0,0,108,38.367081618414424,4.701382652081818,0.03013836247148788,*
LSD,spline_df3,intrcpt,2.015075317727212,NA,NA,5.9681696980991426,2.3992976130219953e-9,0,0,108,28.612491058055447,14.455973212440798,0.002345837771146657,***
LSD,spline_df3,"ns(dose_diff, df = df_spline)1",-0.05882736205064021,NA,NA,-0.07141888182781629,0.9430643824552839,0,0,108,28.612491058055447,14.455973212440798,0.002345837771146657,
LSD,spline_df3,"ns(dose_diff, df = df_spline)2",-3.209969864300768,NA,NA,-3.8019305443605567,1.435729802011182e-4,0,0,108,28.612491058055447,14.455973212440798,0.002345837771146657,***
LSD,spline_df3,"ns(dose_diff, df = df_spline)3",-0.2720759988180335,NA,NA,-0.5911014941057429,0.5544524188366491,0,0,108,28.612491058055447,14.455973212440798,0.002345837771146657,
MDMA,linear,intrcpt,0.5199404322147252,NA,NA,0.8698037253561945,0.38440767527187214,0,1.4399210443055774e-6,75,73.53482174046266,0.0026647608573598185,0.9588304297031951,
MDMA,linear,dose_diff,3.1276670588744053e-4,NA,NA,0.05162132173201126,0.9588304297031951,0,1.4399210443055774e-6,75,73.53482174046266,0.0026647608573598185,0.9588304297031951,
MDMA,spline_df3,intrcpt,0.8849131234732471,NA,NA,2.0228376686696508,0.0430898866269974,0,6.599588814289424e-8,75,71.34586763289497,2.1916189016138823,0.533601072356435,*
MDMA,spline_df3,"ns(dose_diff, df = df_spline)1",0.4093531754344323,NA,NA,0.753016940021014,0.4514397345122917,0,6.599588814289424e-8,75,71.34586763289497,2.1916189016138823,0.533601072356435,
MDMA,spline_df3,"ns(dose_diff, df = df_spline)2",-1.1959260019455324,NA,NA,-1.1520587492971492,0.2492969325614109,0,6.599588814289424e-8,75,71.34586763289497,2.1916189016138823,0.533601072356435,
MDMA,spline_df3,"ns(dose_diff, df = df_spline)3",0.3480439511354375,NA,NA,0.7881255755238494,0.43062325664579215,0,6.599588814289424e-8,75,71.34586763289497,2.1916189016138823,0.533601072356435,
