molecule,time_window,ae_term,k,log_or,se,z,pval,ci_lb,ci_ub,tau2,I2,QE,QEp,or,or_ci_lb,or_ci_ub,stars,pval_fmt,QEp_fmt,status,log_or_ci,or_ci
LSD,follow_up,Balance_disorder,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,Fatigue,4,1.0609599915615615,0.8479302489932561,1.2512349840346357,0.2108487580775338,-0.6009527578673006,2.7228727409904234,0,0,0.413400444696687,0.937460575356912,2.889143211503265,0.5482890005021928,15.22399407781301,,0.211,0.937,ok,"1.061 [-0.601, 2.723]","2.89 [0.55, 15.22]"
LSD,follow_up,Mydriasis,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,Pseudo_hallucination,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,Tremor,4,0.3535238141631896,0.9497084599514368,0.3722445666970967,0.7097107669721845,-1.5078705631546268,2.214918191481006,0,0,0.30591486683215174,0.9589122421560294,1.4240768997472493,0.22138089301994893,9.160659660953629,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
LSD,follow_up,Vomiting,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,accident with fracture,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,altered state of consciousness,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,anxiety,4,1.4409538682660128,0.8246922468266438,1.7472625380082076,0.08059180814486791,-0.1754132338436254,3.0573209703756508,0,0,0.8522489589035378,0.8369331933358672,4.224723725538543,0.8391102003818528,21.270496472341847,,0.081,0.837,ok,"1.441 [-0.175, 3.057]","4.22 [0.84, 21.27]"
LSD,follow_up,attention disturbance,6,2.0729879059070875,0.671606981979582,3.0866086290480372,0.002024539581730477,0.7566624094614658,3.389313402352709,0.5368290331421102,19.812770081533134,5.747280566351545,0.33159137800739186,7.94853715366737,2.131151426451006,29.645590688242457,**,0.002,0.332,ok,"2.073 [0.757, 3.389] **","7.95 [2.13, 29.65] **"
LSD,follow_up,depressed mood,4,1.437379408312427,0.8246654532856956,1.7429848705138662,0.08133625762870822,-0.1789351794219347,3.0536939960467886,0,0,0.8210611081417891,0.844423144557863,4.209649576787064,0.8361600980213323,21.193488664764537,,0.081,0.844,ok,"1.437 [-0.179, 3.054]","4.21 [0.84, 21.19]"
LSD,follow_up,depression,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,dizziness,5,0.4642761257636457,0.7675471461730351,0.6048828766786656,0.5452568214082305,-1.0400886371720033,1.9686408886992945,0,0,0.5511527017444418,0.9683339761741494,1.5908621878341,0.35342335412376585,7.160937360676,,0.545,0.968,ok,"0.464 [-1.040, 1.969]","1.59 [0.35, 7.16]"
LSD,follow_up,emotional distress,4,0.35352381416318956,0.9497084599514368,0.37224456669709666,0.7097107669721845,-1.5078705631546268,2.214918191481006,0,0,0.3059148668321517,0.9589122421560295,1.424076899747249,0.22138089301994893,9.160659660953629,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
LSD,follow_up,euphoric mood,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,fatigue,2,2.653982979831934,0.7712550213724397,3.441122464407688,5.793062737408145e-4,1.1423509150462825,4.165615044617585,0,0,0,1,14.210526315789467,3.134127779271263,64.43229899793657,***,<0.001,1.000,ok,"2.654 [1.142, 4.166] ***","14.21 [3.13, 64.43] ***"
LSD,follow_up,feeling abnormal,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,hallucination visual,4,0.3563934795937728,0.9497302742579674,0.3752575749701421,0.7074689147784747,-1.505043652979191,2.2178306121667366,0,0,0.32468103991904607,0.9553217355016445,1.4281693932320187,0.22200760232717476,9.187378244637019,,0.707,0.955,ok,"0.356 [-1.505, 2.218]","1.43 [0.22, 9.19]"
LSD,follow_up,headache,6,2.370700523957032,0.5487046880779427,4.320539947018418,1.556478750364675e-5,1.2952590971759799,3.4461419507380837,0,0,1.7451413631234165,0.8831643554864067,10.704888689082916,3.6519420594464083,31.379096376744414,***,<0.001,0.883,ok,"2.371 [1.295, 3.446] ***","10.70 [3.65, 31.38] ***"
LSD,follow_up,hypertension,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,illusion,4,0.9002200020046914,0.8603885342746186,1.046294744924343,0.29542497091531,-0.7861105378847667,2.5865505418941495,0,0,0.25880234216902903,0.9675807887557588,2.4601442882999947,0.45561344473766374,13.28387032726817,,0.295,0.968,ok,"0.900 [-0.786, 2.587]","2.46 [0.46, 13.28]"
LSD,follow_up,impaired gait,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,lack of appetite,4,0.8388731020338005,0.8874442400532198,0.9452685184857288,0.3445218063987757,-0.9004856467580282,2.5782318508256292,0,0,0.6414389839617336,0.8868837250339057,2.313758137769754,0.40637225844096386,13.173824268010387,,0.345,0.887,ok,"0.839 [-0.900, 2.578]","2.31 [0.41, 13.17]"
LSD,follow_up,nausea,5,0.7902763936330137,0.7245153730807807,1.0907655282352455,0.2753760683874146,-0.6297476438509169,2.210300431116944,0,0,0.6504310919636579,0.957298117441291,2.20400551516943,0.5327262207829477,9.11845544932628,,0.275,0.957,ok,"0.790 [-0.630, 2.210]","2.20 [0.53, 9.12]"
LSD,follow_up,panic_attack,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
LSD,follow_up,paresthesia,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,perspiration,4,-0.01875170009928245,1.0062509714344081,-0.01863521192188461,0.9851321126565423,-1.990967363519165,1.9534639633206,0,0,1.1573917738360239e-4,0.9999996688503394,0.981423019229788,0.13656325521634713,7.053076914051292,,0.985,1.000,ok,"-0.019 [-1.991, 1.953]","0.98 [0.14, 7.05]"
LSD,follow_up,temperature perception disturbances,4,0.35352381416318956,0.9497084599514368,0.37224456669709666,0.7097107669721845,-1.5078705631546268,2.214918191481006,0,0,0.3059148668321517,0.9589122421560295,1.424076899747249,0.22138089301994893,9.160659660953629,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
LSD,follow_up,thinking abnormal,4,0.3535238141631896,0.9497084599514368,0.3722445666970967,0.7097107669721845,-1.5078705631546268,2.214918191481006,0,0,0.30591486683215174,0.9589122421560294,1.4240768997472493,0.22138089301994893,9.160659660953629,,0.710,0.959,ok,"0.354 [-1.508, 2.215]","1.42 [0.22, 9.16]"
MDMA,follow_up,anxiety,5,1.3502346454805383,0.5097430125983065,2.6488536617657683,0.008076529524671347,0.35115669941691074,2.349312591544166,0.03207559706297848,2.3743868747310106,4.477718424895839,0.3451976803348118,3.8583307643646063,1.420709932888631,10.478364332242151,**,0.008,0.345,ok,"1.350 [0.351, 2.349] **","3.86 [1.42, 10.48] **"
MDMA,follow_up,autonomic,2,-0.28347772503126223,0.776070125856823,-0.36527333753285196,0.7149073789749563,-1.804547221188102,1.2375917711255777,0,0,0.7719009161656354,0.3796296303745021,0.7531598985664117,0.16454894398807965,3.4473015691286406,,0.715,0.380,ok,"-0.283 [-1.805, 1.238]","0.75 [0.16, 3.45]"
MDMA,follow_up,decreased concentration,4,0.6808797881586603,0.5329326597075819,1.2776094235475388,0.20138717619812832,-0.36364903105334045,1.7254086073706612,0,0,0.16252051742208704,0.9834001131408213,1.9756150906275163,0.6951351227766511,5.614814815750911,,0.201,0.983,ok,"0.681 [-0.364, 1.725]","1.98 [0.70, 5.61]"
MDMA,follow_up,depressed mood,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
MDMA,follow_up,depression,3,1.067365724600871,0.5765796881572768,1.8512024383171122,0.06414043511942855,-0.06270969840472684,2.197441147606469,0,0,1.9242082095231652,0.38208808621897633,2.9077096941068667,0.9392160900459836,9.001949343509551,,0.064,0.382,ok,"1.067 [-0.063, 2.197]","2.91 [0.94, 9.00]"
MDMA,follow_up,dissociation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
