molecule,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
LSD,linear,intrcpt,-0.16544086038451508,NA,NA,-1.250482078028905,0.21112349816712353,22.757857074571916,0.31889826961903406,149,191.60524863076844,11.36279098712816,7.493014199869901e-4,
LSD,linear,dose_diff,0.004343403177007402,NA,NA,3.3708739203844686,7.49301419986991e-4,22.757857074571916,0.31889826961903406,149,191.60524863076844,11.36279098712816,7.493014199869901e-4,***
LSD,spline_df3,intrcpt,-0.08282168154180897,NA,NA,-0.44147196808579003,0.6588713508911175,19.839318969756416,0.3135549662584238,149,184.6291699345238,16.636238235254964,8.395224454178264e-4,
LSD,spline_df3,"ns(dose_diff, df = df_spline)1",1.2507052620323658,NA,NA,2.8769025941096498,0.004015995407188317,19.839318969756416,0.3135549662584238,149,184.6291699345238,16.636238235254964,8.395224454178264e-4,**
LSD,spline_df3,"ns(dose_diff, df = df_spline)2",0.4612065703153278,NA,NA,1.093774252929454,0.2740539989526265,19.839318969756416,0.3135549662584238,149,184.6291699345238,16.636238235254964,8.395224454178264e-4,
LSD,spline_df3,"ns(dose_diff, df = df_spline)3",0.8784164064985356,NA,NA,3.5561757141499015,3.762924503597855e-4,19.839318969756416,0.3135549662584238,149,184.6291699345238,16.636238235254964,8.395224454178264e-4,***
MDMA,linear,intrcpt,-0.373477681948433,NA,NA,-0.9472805586188886,0.3434958347870339,19.570235134035453,0.2973789326838531,213,263.58401066234126,10.156723853371009,0.0014377589211496751,
MDMA,linear,dose_diff,0.011474394516842363,NA,NA,3.1869615393617488,0.0014377589211496756,19.570235134035453,0.2973789326838531,213,263.58401066234126,10.156723853371009,0.0014377589211496751,**
MDMA,spline_df3,intrcpt,0.33681309036088225,NA,NA,0.998760946561082,0.3179105086658683,14.163302055573096,0.2537663637988556,213,246.98060978214093,24.563544346424173,1.9049719016569994e-5,
MDMA,spline_df3,"ns(dose_diff, df = df_spline)1",1.8178636851287617,NA,NA,4.558906371021635,5.142068793591702e-6,14.163302055573096,0.2537663637988556,213,246.98060978214093,24.563544346424173,1.9049719016569994e-5,***
MDMA,spline_df3,"ns(dose_diff, df = df_spline)2",0.04505484737378762,NA,NA,0.05400125396779616,0.9569341651794075,14.163302055573096,0.2537663637988556,213,246.98060978214093,24.563544346424173,1.9049719016569994e-5,
MDMA,spline_df3,"ns(dose_diff, df = df_spline)3",0.4789903978528661,NA,NA,1.9306294909688613,0.05352888813642264,14.163302055573096,0.2537663637988556,213,246.98060978214093,24.563544346424173,1.9049719016569994e-5,
PSILOCYBIN,linear,intrcpt,2.385778828710711,NA,NA,4.866002490778036,1.1387808264618804e-6,59.10826466843409,2.2718369574213493,166,403.5045190968702,19.392452365711275,1.0642684357112177e-5,***
PSILOCYBIN,linear,dose_diff,-0.06776893106075263,NA,NA,-4.40368622471121,1.06426843571122e-5,59.10826466843409,2.2718369574213493,166,403.5045190968702,19.392452365711275,1.0642684357112177e-5,***
PSILOCYBIN,spline_df3,intrcpt,2.1007637150745513,NA,NA,4.73723220095602,2.166568742864278e-6,51.9833016779804,1.6858446552788784,166,343.63045724935637,49.70218882980093,9.24534135961548e-11,***
PSILOCYBIN,spline_df3,"ns(dose_diff, df = df_spline)1",-46.258037996278034,NA,NA,-5.334954534978942,9.55685002539743e-8,51.9833016779804,1.6858446552788784,166,343.63045724935637,49.70218882980093,9.24534135961548e-11,***
PSILOCYBIN,spline_df3,"ns(dose_diff, df = df_spline)2",6.630343308404596,NA,NA,2.939576866166125,0.0032866073818187225,51.9833016779804,1.6858446552788784,166,343.63045724935637,49.70218882980093,9.24534135961548e-11,**
PSILOCYBIN,spline_df3,"ns(dose_diff, df = df_spline)3",-14.424806979775727,NA,NA,-5.45464780347175,4.907000525494694e-8,51.9833016779804,1.6858446552788784,166,343.63045724935637,49.70218882980093,9.24534135961548e-11,***
